Part #,LCSC #,Order Quantity,Unit Price (USD),Ext. Price(USD)
UMK107AB7105KA-T,C105174,50,0.0181,0.91
CL31B106KBHNNNE,C89632,10,0.0629,0.63
XL-3216HIRC-850,C965891,20,0.0283,0.57
AFC01-S24FCC-00,C262276,5,0.1124,0.56
ESP32-S3-WROOM-1U-N8R8,C2980300,1,5.5182,5.52
GT-USB-7010ASV,C2988369,5,0.0805,0.40
0603WAF1501T5E,C22843,100,0.0011,0.11
RC0603FR-0722RL,C107701,100,0.0012,0.12
FRC0603F5101TS,C2907044,100,0.0010,0.10
RC0603FR-0710KL,C98220,100,0.0011,0.11
RC0603FR-074K7L,C99782,100,0.0011,0.11
RC0603FR-07620RL,C137695,100,0.0012,0.12
TS-1088-AR02016,C720477,10,0.0412,0.41
AP2112K-3.3TRG1,C51118,5,0.1091,0.55
TLV70228DBVR,C183080,5,0.1024,0.51
TLV70212DBVR,C81462,5,0.1154,0.58
,,,,
Economic PCBA - Front Layer (excluding Components),A$47.76,US$32,,
,,,,
Total,US$43.31,,,
