Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2, C3, C4, C5, C6, C7, C8",0603,8,1µF,C105174
C9,1206,1,10µF,C89632
"D1, D2",1206,2,IR LED,C965891
FPC1,FPC-SMD_P0.5-24P_FGS-XJ-H2.0,1,AFC01-S24FCC-00,C262276
IC1,ESP32S3WROOM1UN8R8,1,ESP32-S3-WROOM-1U-N8R8,C2980300
J1,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,1,GT-USB-7010ASV,C2988369
R1,0603,1,1.5kΩ,C22843
"R10, R11",0603,2,620Ω,C137695
"R2, R3",0603,2,22Ω,C107701
"R4, R5",0603,2,5.1kΩ,C2907044
"R6, R7",0603,2,10kΩ,C98220
"R8, R9",0603,2,4.7kΩ,C99782
"SW1, SW2",SW-SMD_L3.9-W3.0-P4.45,2,Button,C720477
U1,SOT95P285X140-5N,1,AP2112K-3.3,C51118
U2,SOT-23-5,1,TLV70228DBVR,C183080
U3,SOT-23-5,1,TLV70212DBVR,C81462
